key,Customer Age,Quantity,Revenue,Cost,Unit Price,Unit Cost,Profit Margin
19.0_M_Germany_Hamburg,19.0,25.0,7239.0,5183.0,370.0694444166667,263.44416666666666,0.28346335831809844
19.0_M_Germany_Hessen,19.0,33.0,6128.0,4836.0,214.7,167.46666666666667,0.26565112218964093
19.0_M_Germany_Nordrhein-Westfalen,19.0,25.0,7016.0,5882.0,363.2361110833333,308.5683333333333,0.2671784348804554
19.0_M_Germany_Saarland,19.0,26.0,5215.0,4026.0,246.5909090909091,185.69636363636363,0.2788767960442906
19.0_M_United Kingdom_England,19.0,127.0,32791.0,29640.0,262.72463768115944,237.97115942028984,0.1272068009673668
19.0_M_United States_California,19.0,207.0,54592.0,51722.0,323.1405229019608,302.8525490196078,0.1007893139817661
19.0_M_United States_Oregon,19.0,36.0,10169.0,10001.0,373.5462963333333,364.8616666666667,0.05982576960120559
19.0_M_United States_Washington,19.0,109.0,21265.0,18662.0,245.3484848,219.42090909090908,0.13522648078889365
20.0_F_France_Essonne,20.0,10.0,2637.0,2901.0,283.4,307.4,0.044955495304652336
20.0_F_France_Hauts de Seine,20.0,8.0,656.0,539.0,104.16666666666667,85.16666666666667,0.1147561697641843
20.0_F_France_Loir et Cher,20.0,7.0,1774.0,1391.0,504.888889,403.4433333333333,0.26972930061913947
20.0_F_France_Nord,20.0,15.0,2719.0,2825.0,235.125,237.04125,0.0750388003361866
20.0_F_France_Pas de Calais,20.0,7.0,2032.0,1502.0,303.611111,215.33333333333334,0.22086941418352757
20.0_F_France_Seine (Paris),20.0,21.0,1037.0,883.0,51.249999875,43.04125,0.08412938454115718
20.0_F_France_Seine Saint Denis,20.0,7.0,933.0,871.0,198.25,189.0,0.10105903271131318
20.0_F_France_Val d'Oise,20.0,4.0,405.0,298.0,93.33333333333333,74.33333333333333,0.151010101010101
20.0_F_France_Yveline,20.0,1.0,633.0,702.0,633.0,702.0,-0.10900473933649289
20.0_F_Germany_Bayern,20.0,10.0,3026.0,2020.0,407.7,265.5,0.3076428265551659
20.0_F_Germany_Hamburg,20.0,6.0,958.0,773.0,131.83333325,103.25,0.23238919319414675
20.0_F_Germany_Hessen,20.0,15.0,1400.0,925.0,141.51851855555554,92.57444444444445,0.31854515254254373
20.0_F_Germany_Nordrhein-Westfalen,20.0,13.0,2210.0,1527.0,181.21428571428572,125.61857142857141,0.30915719039428785
20.0_F_Germany_Saarland,20.0,36.0,10365.0,7989.0,300.08333327777774,224.27777777777777,0.27674102729690736
20.0_F_United Kingdom_England,20.0,109.0,29334.0,25070.0,297.7623456666667,255.11407407407407,0.14426480315906517
20.0_F_United States_California,20.0,128.0,17995.0,17596.0,219.53333333846152,220.90246153846152,0.12222873288869349
20.0_F_United States_Oregon,20.0,34.0,2665.0,2466.0,109.537037,102.43555555555557,0.1126262726318205
20.0_F_United States_Washington,20.0,63.0,9808.0,9222.0,223.85858590909092,211.6260606060606,0.11375582362326572
20.0_M_France_Hauts de Seine,20.0,3.0,63.0,60.0,21.0,20.0,0.047619047619047616
20.0_M_France_Loiret,20.0,6.0,4296.0,3470.0,869.33333325,727.5,0.20476795905391823
20.0_M_France_Nord,20.0,4.0,686.0,725.0,171.5,181.25,0.08522437236066639
20.0_M_France_Pas de Calais,20.0,8.0,1850.0,1692.0,343.1666665,294.6675,0.0739890352751841
20.0_M_France_Seine (Paris),20.0,22.0,1859.0,1398.0,77.79629633333333,59.42666666666667,0.16387153465976756
20.0_M_France_Seine Saint Denis,20.0,8.0,3945.0,3273.0,449.375,382.0425,0.08739156782179038
20.0_M_France_Seine et Marne,20.0,4.0,360.0,235.0,108.66666649999999,72.5,0.34211368582767887
20.0_M_France_Yveline,20.0,11.0,3893.0,3397.0,432.25,382.0,0.02858187298654523
20.0_M_Germany_Bayern,20.0,33.0,11406.0,8654.0,353.68518522222223,264.62055555555554,0.2841471064193782
20.0_M_Germany_Hamburg,20.0,10.0,6969.0,4879.0,1111.5833333333333,780.1666666666666,0.3222733459256468
20.0_M_Germany_Hessen,20.0,20.0,4597.0,3179.0,214.6666667,149.7,0.29832120363613224
20.0_M_Germany_Nordrhein-Westfalen,20.0,13.0,4082.0,2816.0,317.2666667,225.5,0.3145838254584996
20.0_M_Germany_Saarland,20.0,6.0,102.0,67.0,17.0,11.165,0.3444874274661509
20.0_M_United Kingdom_England,20.0,99.0,29375.0,26618.0,343.5160256153846,316.4838461538462,0.13911929928749137
20.0_M_United States_California,20.0,251.0,50886.0,45633.0,223.41923076153847,196.7359230769231,0.13725506314823874
20.0_M_United States_Ohio,20.0,4.0,103.0,85.0,24.833333500000002,20.835,0.15896739130434784
20.0_M_United States_Oregon,20.0,42.0,7876.0,6755.0,240.1269841428571,202.88904761904763,0.14616912433331203
20.0_M_United States_Texas,20.0,6.0,804.0,679.0,134.0,113.165,0.18224066802524974
20.0_M_United States_Washington,20.0,119.0,23605.0,22049.0,208.6867815862069,192.4194827586207,0.1177455210653292
21.0_F_France_Essonne,21.0,18.0,2388.0,1938.0,229.979166625,183.52125,0.14653015535707584
21.0_F_France_Hauts de Seine,21.0,5.0,1189.0,1000.0,386.111111,324.6666666666667,0.2042572463768116
21.0_F_France_Moselle,21.0,4.0,1117.0,745.0,554.8333335,369.165,0.21317606444188725
21.0_F_France_Nord,21.0,18.0,3838.0,3481.0,299.45454545454544,262.3790909090909,0.10713465646050487
21.0_F_France_Pas de Calais,21.0,3.0,803.0,685.0,267.666667,228.33,0.14694894146948942
21.0_F_France_Seine (Paris),21.0,44.0,9325.0,8106.0,229.53030304545453,204.5381818181818,0.12850986389527408
21.0_F_France_Seine Saint Denis,21.0,20.0,6250.0,4887.0,338.2166667,262.767,0.21230003717586868
21.0_F_France_Somme,21.0,9.0,2606.0,2480.0,288.08333325,278.3325,-0.028685787444677213
21.0_F_France_Val d'Oise,21.0,4.0,579.0,380.0,144.75,95.0,0.3134028892455859
21.0_F_France_Yveline,21.0,5.0,2098.0,1943.0,495.0,461.5,0.0473167765281761
21.0_F_Germany_Bayern,21.0,20.0,8692.0,6230.0,503.8194444166667,347.0416666666667,0.2923277430302336
21.0_F_Germany_Hamburg,21.0,5.0,2184.0,1331.0,368.0833335,224.75,0.33934426229508197
21.0_F_Germany_Hessen,21.0,28.0,4009.0,2754.0,153.27380942857144,106.0,0.29844798774315706
21.0_F_Germany_Nordrhein-Westfalen,21.0,22.0,7962.0,5256.0,484.7833333,325.383,0.33821344852992624
21.0_F_Germany_Saarland,21.0,12.0,7634.0,5421.0,890.5,611.3333333333334,0.30665743009572904
21.0_F_United Kingdom_England,21.0,129.0,28506.0,25834.0,223.59322033898306,201.22322033898305,0.1312964398376879
21.0_F_United States_California,21.0,227.0,37284.0,34592.0,199.23273272972972,186.95495495495496,0.10328706096420677
21.0_F_United States_Oregon,21.0,40.0,9099.0,8893.0,267.780303,264.18954545454545,0.08753862898149886
21.0_F_United States_Washington,21.0,84.0,7645.0,6940.0,103.55555553846155,93.94435897435898,0.11527560023625553
21.0_M_France_Essonne,21.0,9.0,2092.0,1547.0,341.4666666,250.734,0.17296750615678386
21.0_M_France_Hauts de Seine,21.0,9.0,2430.0,1589.0,355.0333334,225.06599999999997,0.2834616447242787
21.0_M_France_Nord,21.0,6.0,183.0,141.0,30.5,23.5,0.22252747252747251
21.0_M_France_Seine (Paris),21.0,12.0,6362.0,6324.0,534.0,530.61,0.1109580902996623
21.0_M_France_Seine Saint Denis,21.0,22.0,5351.0,4529.0,280.2037036666667,233.61111111111111,0.13600725474804418
21.0_M_France_Yveline,21.0,22.0,6485.0,5558.0,320.55,273.384,0.13244532057647193
21.0_M_Germany_Bayern,21.0,16.0,4623.0,3283.0,350.3055555833334,250.94416666666666,0.2937254404237885
21.0_M_Germany_Hamburg,21.0,17.0,5630.0,4656.0,490.72222222222223,416.53666666666663,0.25520776109204646
21.0_M_Germany_Hessen,21.0,16.0,2001.0,1302.0,122.73809514285713,79.88142857142857,0.29220334687530275
21.0_M_Germany_Nordrhein-Westfalen,21.0,29.0,5755.0,4477.0,252.85714285714286,203.36928571428572,0.2597850830034899
21.0_M_Germany_Saarland,21.0,10.0,1653.0,1229.0,235.0333334,182.2,0.2874262307181411
21.0_M_United Kingdom_England,21.0,115.0,30601.0,28374.0,325.15229886206896,301.63206896551725,0.12062722300558146
21.0_M_United States_California,21.0,234.0,45977.0,40621.0,251.57795697580644,221.1733870967742,0.1411968648359993
21.0_M_United States_New York,21.0,5.0,864.0,734.0,166.16666666666666,140.66666666666666,0.16494637071730647
21.0_M_United States_Oregon,21.0,44.0,10668.0,9291.0,321.0151515,283.8331818181818,0.130207539287494
21.0_M_United States_Washington,21.0,109.0,23926.0,20899.0,270.11494256896555,235.30172413793105,0.13997294527527968
22.0_F_France_Essonne,22.0,33.0,7148.0,6209.0,262.4509804117647,254.16705882352943,0.13985162921663247
22.0_F_France_Hauts de Seine,22.0,9.0,667.0,538.0,74.11111100000001,59.77666666666667,0.04444726846556812
22.0_F_France_Nord,22.0,17.0,4383.0,3991.0,244.70833325,226.58375,0.13709842195814698
22.0_F_France_Seine (Paris),22.0,22.0,5362.0,5231.0,266.3787878181818,253.75818181818184,0.024055857063305708
22.0_F_France_Seine Saint Denis,22.0,16.0,5384.0,4830.0,382.462963,331.25888888888886,0.06015245508714798
22.0_F_France_Yveline,22.0,23.0,6174.0,5028.0,235.16666663636363,193.01454545454544,0.18626084679332314
22.0_F_Germany_Bayern,22.0,20.0,4208.0,2870.0,314.1111111111111,209.44444444444446,0.2993247551085846
22.0_F_Germany_Hamburg,22.0,16.0,3611.0,2380.0,201.5,132.77666666666667,0.3390477455106109
22.0_F_Germany_Hessen,22.0,2.0,248.0,160.0,124.0,80.0,0.35617573915446255
22.0_F_Germany_Nordrhein-Westfalen,22.0,41.0,17243.0,13875.0,585.9,480.60749999999996,0.23970983522807857
22.0_F_Germany_Saarland,22.0,38.0,17496.0,13614.0,596.8412698095237,468.06333333333333,0.26801364772620007
22.0_F_United Kingdom_England,22.0,126.0,52540.0,48122.0,541.958333328125,496.83328125,0.12214393451610839
22.0_F_United States_California,22.0,188.0,31316.0,29363.0,209.7309027916667,195.28822916666664,0.11531601892038569
22.0_F_United States_Oregon,22.0,52.0,6732.0,6173.0,162.69565213043478,160.42,0.128176345645628
22.0_F_United States_Washington,22.0,82.0,15682.0,15029.0,184.08139534883722,174.60488372093025,0.11237511343949813
22.0_M_France_Essonne,22.0,9.0,1036.0,831.0,193.0,155.75,0.21910610805194314
22.0_M_France_Hauts de Seine,22.0,11.0,3209.0,2786.0,340.4,298.334,0.08983398952034907
22.0_M_France_Loir et Cher,22.0,6.0,708.0,482.0,138.94444433333334,102.55666666666666,0.10288847083706765
22.0_M_France_Loiret,22.0,12.0,2122.0,2088.0,313.9666666,291.866,0.03279687145364372
22.0_M_France_Nord,22.0,33.0,4899.0,5351.0,183.30952378571428,201.01285714285714,0.049839409661616325
22.0_M_France_Pas de Calais,22.0,8.0,775.0,735.0,101.72222233333333,99.16666666666667,0.06897017848768243
22.0_M_France_Seine (Paris),22.0,17.0,3081.0,3355.0,195.5,214.8125,0.08768694011525746
22.0_M_France_Seine Saint Denis,22.0,12.0,3712.0,2983.0,357.0666668,305.76599999999996,0.21041650287615216
22.0_M_France_Seine et Marne,22.0,7.0,1090.0,1088.0,139.375,135.5425,-0.083838017965807
22.0_M_France_Val de Marne,22.0,7.0,1793.0,1280.0,489.22222200000004,313.3333333333333,0.14940142604868117
22.0_M_France_Yveline,22.0,16.0,2180.0,1710.0,146.5,119.11857142857141,0.18367880865853325
22.0_M_Germany_Bayern,22.0,2.0,85.0,60.0,42.5,30.0,0.29411764705882354
22.0_M_Germany_Hamburg,22.0,26.0,6792.0,4820.0,257.75757572727275,183.66636363636363,0.3018775213979918
22.0_M_Germany_Hessen,22.0,27.0,10813.0,7963.0,524.5833333333334,373.27833333333336,0.2815176122134051
22.0_M_Germany_Nordrhein-Westfalen,22.0,24.0,10150.0,8347.0,584.9166667,499.933,0.23449128780795458
22.0_M_Germany_Saarland,22.0,26.0,8475.0,6143.0,469.2948717692307,336.2315384615385,0.2874803041318417
22.0_M_United Kingdom_England,22.0,134.0,47578.0,45294.0,461.9333333285714,439.49514285714287,0.1114383149485263
22.0_M_United States_California,22.0,222.0,49219.0,45444.0,307.3864306637168,284.0619469026549,0.11110573426405272
22.0_M_United States_Illinois,22.0,2.0,249.0,215.0,124.5,107.5,0.13654618473895583
22.0_M_United States_Oregon,22.0,55.0,10472.0,9447.0,283.3703703703704,261.64814814814815,0.14029588606539342
22.0_M_United States_Washington,22.0,113.0,25469.0,21400.0,290.10277779999996,246.297,0.1697961064185832
23.0_F_France_Essonne,23.0,8.0,2409.0,1981.0,246.7,204.0,0.06897051554189745
23.0_F_France_Hauts de Seine,23.0,17.0,2433.0,2323.0,187.979166625,184.98,0.13022397447350992
23.0_F_France_Loiret,23.0,14.0,2075.0,1832.0,165.611111,147.38833333333335,0.19280742846476498
23.0_F_France_Moselle,23.0,5.0,3710.0,3780.0,673.125,658.125,0.017492901061449448
23.0_F_France_Nord,23.0,14.0,1524.0,1366.0,129.38095242857142,108.69000000000001,0.07439110308532726
23.0_F_France_Seine (Paris),23.0,39.0,8203.0,6256.0,317.53508773684206,233.88631578947368,0.17085357741796034
23.0_F_France_Seine Saint Denis,23.0,11.0,1797.0,1308.0,159.86666680000002,115.1,0.28147984669544635
23.0_F_France_Val de Marne,23.0,8.0,382.0,332.0,69.33333350000001,63.5,0.18269709439284226
23.0_F_France_Yveline,23.0,4.0,1116.0,780.0,279.0,195.0,0.09665763324299909
23.0_F_Germany_Bayern,23.0,20.0,3923.0,2931.0,300.0333333,229.984,0.2783595057094296
23.0_F_Germany_Hamburg,23.0,21.0,8541.0,7009.0,510.8636363636364,417.22818181818184,0.25164809070048655
23.0_F_Germany_Hessen,23.0,2.0,3162.0,2443.0,1581.0,1221.5,0.2273877292852625
23.0_F_Germany_Nordrhein-Westfalen,23.0,11.0,4884.0,3467.0,468.6666666666667,329.25,0.28266660232055724
23.0_F_Germany_Saarland,23.0,21.0,6181.0,4392.0,369.09722225,255.80583333333334,0.300154403536593
23.0_F_United Kingdom_England,23.0,216.0,75479.0,68636.0,409.12063495238095,368.682380952381,0.13690393129335118
23.0_F_United States_California,23.0,240.0,33610.0,31470.0,162.50277778333333,151.52216666666666,0.10942499201134506
23.0_F_United States_Oregon,23.0,43.0,4369.0,4137.0,128.6904761904762,125.08714285714285,0.09076838245715235
23.0_F_United States_Washington,23.0,122.0,21376.0,20557.0,218.0051282,207.82569230769232,0.11316574005839843
23.0_M_France_Charente-Maritime,23.0,8.0,302.0,288.0,33.777778,32.276666666666664,-0.048729227761485826
23.0_M_France_Hauts de Seine,23.0,15.0,3791.0,3056.0,229.23809528571428,178.97571428571428,0.18563384496124224
23.0_M_France_Loiret,23.0,9.0,5195.0,4723.0,563.75,513.7075,0.04182854562315838
23.0_M_France_Moselle,23.0,3.0,1153.0,873.0,384.3333333333333,291.0,0.1775689855604503
23.0_M_France_Nord,23.0,26.0,9350.0,9298.0,339.6363636363636,342.7581818181818,0.021826370108177385
23.0_M_France_Pas de Calais,23.0,8.0,2630.0,2376.0,310.8333333333333,275.5,0.13318897379676364
23.0_M_France_Seine (Paris),23.0,8.0,1318.0,1013.0,220.56666660000002,167.6,0.24810277167707762
23.0_M_France_Seine Saint Denis,23.0,15.0,4353.0,3333.0,253.8055555,197.05499999999998,0.13318549926720458
23.0_M_France_Seine et Marne,23.0,12.0,7718.0,7457.0,653.2380952857142,626.2614285714286,0.07761799306823737
23.0_M_France_Yveline,23.0,4.0,3963.0,2968.0,990.75,742.0,0.1725853666305325
23.0_M_Germany_Bayern,23.0,4.0,156.0,112.0,70.6666665,50.665,0.2781546811397557
23.0_M_Germany_Hamburg,23.0,19.0,3307.0,2197.0,196.1666667142857,129.35714285714286,0.3384643474749852
23.0_M_Germany_Hessen,23.0,6.0,1067.0,747.0,177.875,124.625,0.3064870962290814
23.0_M_Germany_Nordrhein-Westfalen,23.0,33.0,5915.0,4649.0,186.62745094117648,143.93117647058824,0.23685893704384295
23.0_M_Germany_Saarland,23.0,17.0,6571.0,4590.0,334.65,237.783,0.30049912631418296
23.0_M_United Kingdom_England,23.0,148.0,52805.0,50507.0,387.89529915384617,372.2371794871795,0.11016757522538786
23.0_M_United States_California,23.0,263.0,52335.0,48267.0,237.91169152238805,217.22626865671643,0.1121882508117768
23.0_M_United States_Illinois,23.0,9.0,796.0,796.0,101.33333325000001,95.5825,0.024655590559055904
23.0_M_United States_Oregon,23.0,51.0,8968.0,8156.0,240.85999995999998,224.96599999999998,0.1265407206041866
23.0_M_United States_Washington,23.0,124.0,22775.0,21221.0,231.28205126153847,216.536,0.11028568434136984
24.0_F_France_Charente-Maritime,24.0,2.0,1827.0,1820.0,913.5,910.0,-0.05954025876146212
24.0_F_France_Essonne,24.0,11.0,6817.0,4793.0,983.4166666666666,677.445,0.25981189631064794
24.0_F_France_Garonne (Haute),24.0,4.0,1728.0,1440.0,432.0,360.0,0.050156569924687255
24.0_F_France_Hauts de Seine,24.0,9.0,2366.0,2237.0,352.20833325,351.75,0.07100933080112393
24.0_F_France_Loir et Cher,24.0,5.0,387.0,365.0,78.66666649999999,70.83500000000001,0.0825426944971537
24.0_F_France_Loiret,24.0,3.0,600.0,411.0,153.25,105.5,0.23620757436771067
24.0_F_France_Moselle,24.0,10.0,4955.0,3720.0,461.2083335,355.8325,0.1600608624967462
24.0_F_France_Nord,24.0,13.0,5000.0,4696.0,502.6666666,513.066,0.08681680864420777
24.0_F_France_Pas de Calais,24.0,6.0,2452.0,1895.0,523.25,416.875,0.18164623923567638
24.0_F_France_Seine (Paris),24.0,16.0,6566.0,5181.0,343.666666625,277.27,0.10110323159399277
